景点名称,经度,纬度,坐标,状态
广州塔,113.32489,23.105818,"113.324890,23.105818",成功
广州市长隆旅游度假区,113.392502,22.926343,"113.392502,22.926343",成功
广州市白云山风景区,113.288764,23.154684,"113.288764,23.154684",成功
花城广场,113.324593,23.120498,"113.324593,23.120498",成功
海心沙亚运公园,113.324063,23.111378,"113.324063,23.111378",成功
广东省博物馆,113.326909,23.114687,"113.326909,23.114687",成功
珠江夜游码头,113.288149,23.112552,"113.288149,23.112552",成功
沙面,113.245343,23.107934,"113.245343,23.107934",成功
上下九步行街,113.246205,23.113636,"113.246205,23.113636",成功
陈家祠,113.245403,23.12668,"113.245403,23.126680",成功
南越王博物院（王墓展区）,113.261319,23.138452,"113.261319,23.138452",成功
大佛古寺,113.265427,23.120612,"113.265427,23.120612",成功
永庆坊,113.238286,23.114231,"113.238286,23.114231",成功
越秀公园,113.264905,23.139843,"113.264905,23.139843",成功
中山纪念堂,113.264682,23.133454,"113.264682,23.133454",成功
华南国家植物园,113.366548,23.183036,"113.366548,23.183036",成功
火炉山森林公园,113.385117,23.168708,"113.385117,23.168708",成功
广州圣心大教堂,113.259681,23.113231,"113.259681,23.113231",成功
莲花山旅游区,113.504534,22.97879,"113.504534,22.978790",成功
宝墨园,113.295821,22.895776,"113.295821,22.895776",成功
大夫山森林公园,113.31236,22.940635,"113.312360,22.940635",成功
余荫山房,113.396284,23.011053,"113.396284,23.011053",成功
沙湾古镇,113.339011,22.911356,"113.339011,22.911356",成功
广州大学城,113.390206,23.048903,"113.390206,23.048903",成功
南海神庙,113.499625,23.082382,"113.499625,23.082382",成功
黄埔古港,113.392277,23.086754,"113.392277,23.086754",成功
光孝寺,113.256566,23.128849,"113.256566,23.128849",成功
深圳市华侨城旅游度假区,113.979821,22.538544,"113.979821,22.538544",成功
深圳市观澜湖休闲旅游区,114.081805,22.723768,"114.081805,22.723768",成功
世界之窗,113.973715,22.534481,"113.973715,22.534481",成功
深圳湾公园,113.950183,22.519126,"113.950183,22.519126",成功
深圳平安金融中心云际观光层,114.055727,22.5331,"114.055727,22.533100",成功
锦绣中华民俗村,113.997275,22.531446,"113.997275,22.531446",成功
大梅沙海滨公园,114.304446,22.594822,"114.304446,22.594822",成功
西涌沙滩,114.516427,22.536057,"114.516427,22.536057",成功
东部华侨城,114.304446,22.594822,"114.304446,22.594822",成功
杨梅坑,114.485808,22.548877,"114.485808,22.548877",成功
较场尾,114.50162,22.595512,"114.501620,22.595512",成功
深圳欢乐谷,113.97873,22.538869,"113.978730,22.538869",成功
珠海长隆海洋王国,113.537108,22.097771,"113.537108,22.097771",成功
珠海情侣路,113.578416,22.286425,"113.578416,22.286425",成功
景山公园,113.576348,22.251964,"113.576348,22.251964",成功
外伶仃岛,114.030358,22.101621,"114.030358,22.101621",成功
珠海太空中心,113.335681,22.101894,"113.335681,22.101894",成功
金沙滩,113.3634,22.05427,"113.363400,22.054270",成功
珠海规划馆,113.58149,22.270549,"113.581490,22.270549",成功
港珠澳大桥,113.590424,22.210443,"113.590424,22.210443",成功
东澳岛,113.713464,22.025282,"113.713464,22.025282",成功
桂山岛,113.823731,22.135239,"113.823731,22.135239",成功
香港迪士尼乐园,114.045338,22.309132,"114.045338,22.309132",成功
